       mindate     maxdate                                                                                                     name  datacoverage    id
67   1982-01-01  2023-03-01                                                Lowest minimum soil temperature for the month (degrees F)        0.9997  LN06
68   1982-06-01  2023-03-01                                                Lowest minimum soil temperature for the month (degrees F)        0.9997  LN07
69   1982-06-01  2023-03-01                                                Lowest minimum soil temperature for the month (degrees F)        0.9700  LN08
70   1763-01-01  2023-05-26                                                                               Lowest minimum temperature           NaN  LTMN
71   1763-01-01  2023-05-26                                                                               Lowest maximum temperature           NaN  LTMX
72   1982-01-01  2023-04-01                                                Lowest maximum soil temperature for the month (degrees F)        1.0000  LX01
73   1982-01-01  2023-04-01                                                Lowest maximum soil temperature for the month (degrees F)        1.0000  LX02
74   1982-01-01  2023-03-01                                                Lowest maximum soil temperature for the month (degrees F)        1.0000  LX03
75   1982-01-01  2023-03-01                                                Lowest maximum soil temperature for the month (degrees F)        1.0000  LX04
76   1982-01-01  2023-03-01                                                Lowest maximum soil temperature for the month (degrees F)        0.9997  LX05
77   1982-01-01  2023-02-01                                                Lowest maximum soil temperature for the month (degrees F)        0.9997  LX06
78   1982-06-01  2023-01-01                                                Lowest maximum soil temperature for the month (degrees F)        0.9997  LX07
79   1832-05-11  2023-05-26                                      Multiday precipitation total (use with DAPR and DWPR, if available)        1.0000  MDPR
80   1863-05-04  2023-05-20                                                             Multiday minimum temperature (use with DATN)        1.0000  MDTN
81   1863-05-04  2023-05-19                                                             Multiday maximum temperature (use with DATX)        1.0000  MDTX
82   1982-01-01  2023-04-01                                                        Monthly mean minimum soil temperature (degrees F)        1.0000  MN01
83   1982-01-01  2023-04-01                                                        Monthly mean minimum soil temperature (degrees F)        1.0000  MN02
84   1982-01-01  2023-03-01                                                        Monthly mean minimum soil temperature (degrees F)        1.0000  MN03
85   1982-01-01  2023-03-01                                                        Monthly mean minimum soil temperature (degrees F)        1.0000  MN04
86   1982-01-01  2023-03-01                                                        Monthly mean minimum soil temperature (degrees F)        0.9997  MN05
87   1982-01-01  2023-03-01                                                        Monthly mean minimum soil temperature (degrees F)        0.9997  MN06
88   1982-06-01  2023-03-01                                                        Monthly mean minimum soil temperature (degrees F)        0.9997  MN07
89   1982-06-01  2023-03-01                                                        Monthly mean minimum soil temperature (degrees F)        0.9700  MN08
90   1950-11-28  2023-04-30                                                 Daily minimum temperature of water in an evaporation pan        1.0000  MNPN
91   1982-01-01  2023-04-01                                                        Monthly mean maximum soil temperature (degrees F)        1.0000  MX01
92   1982-01-01  2023-04-01                                                        Monthly mean maximum soil temperature (degrees F)        1.0000  MX02
93   1982-01-01  2023-03-01                                                        Monthly mean maximum soil temperature (degrees F)        1.0000  MX03
94   1982-01-01  2023-03-01                                                        Monthly mean maximum soil temperature (degrees F)        1.0000  MX04
95   1982-01-01  2023-03-01                                                        Monthly mean maximum soil temperature (degrees F)        0.9997  MX05
96   1982-01-01  2023-02-01                                                        Monthly mean maximum soil temperature (degrees F)        0.9997  MX06
97   1982-06-01  2023-01-01                                                        Monthly mean maximum soil temperature (degrees F)        0.9997  MX07
98   1921-12-09  2023-04-30                                                 Daily maximum temperature of water in an evaporation pan        1.0000  MXPN
99   2011-03-08  2023-05-26                                                   Correlation Coefficient (approx. elev. angle: 0.5 deg)        0.9500   N0C
100  2011-03-08  2023-05-26                                                                          Power Removed Control (0.5 Deg)        0.9500   N0F
101  2011-03-08  2023-05-26                                                      Hydrometeor Classification (approx. elev.: 0.5 deg)        0.9500   N0H
102  2011-03-08  2023-05-26                                                     Specific Differential Phase (approx. elev.: 0.5 deg)        0.9500   N0K
103  1994-05-20  2023-05-26                                                 Digital Base Reflectivity (approx. elev. angle: 0.5 deg)        0.9500   N0Q
104  1994-05-20  2023-05-26                                                         Base Reflectivity (approx. elev. angle: 0.5 deg)        0.9500   N0R
105  1994-05-20  2023-05-26                                                   Storm Relative Velocity (approx. elev. angle: 0.5 deg)        0.9500   N0S
106  1994-05-20  2023-05-26                                                             Base Velocity (approx. elev. angle: 0.5 deg)        0.9500   N0V
107  1994-05-20  2023-05-26                                                                                            Base Velocity        0.9500   N0W
